"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"더 재킷","['스릴러', '판타지', '공포', '드라마']","미국",102,"2008.01.10","15세 관람가","존 메이버리","['애드리언 브로디', '키이라 나이틀리', '크리스 크리스토퍼슨']",NA,4,8.29,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"바이러스","['액션', '공포', 'SF', '스릴러']","미국",99,"1999.04.17","15세 관람가","존 브루노","['제이미 리 커티스', '윌리엄 볼드윈', '도날드 서덜랜드']",NA,8.24,NA,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"릴리 슈슈의 모든 것","['드라마']","일본",145,"2015.12","15세 관람가","이와이 슌지","['이치하라 하야토', '오시나리 슈고']",NA,8.26,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"해안선","['드라마']","한국",94,"2002.11.22","청소년 관람불가","김기덕","['장동건', '김정학', '박지아']",NA,7.03,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인사이드 아웃","['애니메이션', '코미디']","미국",102,"2015.07.09","전체 관람가","피트 닥터","['에이미 포엘러', '필리스 스미스', '민디 캘링']",9.04,7.88,9.05,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"위켄즈","['다큐멘터리']","한국",96,"2016.12.22","15세 관람가","이동하","['지보이스', '재우', '샌더']",9.7,6.5,9.23,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"버니드롭","['드라마', '코미디']","일본",114,"2012.05.10","전체 관람가","다나카 히로유키","['마츠야마 켄이치', '아시다 마나', '카리나']",NA,6.92,8.72,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"초록물고기","['드라마', '느와르']","한국",114,"1997.02.07","청소년 관람불가","이창동","['한석규', '심혜진', '문성근']",NA,8.79,NA,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"에곤 쉴레: 욕망이 그린 그림","['드라마']","오스트리아",109,"2016.12.22","청소년 관람불가","디터 베르너","['노아 자베드라', '발레리 파흐너']",8.06,6.25,7.99,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"내 인생의 마지막 변화구","['드라마']","미국",111,"2012.11.29","12세 관람가","로버트 로렌즈","['클린트 이스트우드', '에이미 아담스', '저스틴 팀버레이크']",NA,6.3,8.34,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"녀녀녀","['멜로/로맨스', '코미디']","한국",95,"2014.04.10","청소년 관람불가","한승림","['신주아', '구지성', '윤채이']",3,2.32,NA,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"두 남자","['범죄', '액션']","한국",91,"2016.11.30","청소년 관람불가","이성태","['마동석', '최민호']",7.89,5.44,6.11,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
