"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"인사이드 르윈","['드라마']","미국",105,"2014.01.29","15세 관람가","조엘 코엔","['오스카 아이삭', '캐리 멀리건', '저스틴 팀버레이크']",8.28,8.86,8.17,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009 로스트 메모리즈","['SF', '액션']","한국",134,"2002.02.01","12세 관람가","이시명","['장동건', '나카무라 토오루']",NA,8.01,NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"블랙북","['멜로/로맨스', '전쟁', '스릴러', '드라마']","네덜란드",134,"2007.03.29","청소년 관람불가","폴 버호벤","['캐리스 밴 허슨', '세바스티안 코치', '돔 호프먼']",NA,7,8.84,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"게드전기 - 어스시의 전설","['애니메이션', '판타지', '가족', '모험']","일본",115,"2006.08.10","전체 관람가","미야자키 고로","['스가와라 분타', '오카다 준이치', '테시마 아오이']",NA,4.5,5.16,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"리틀 빅 히어로","['드라마', '코미디']","미국",112,"1993.04.10","15세 관람가","스티븐 프리어스","['더스틴 호프만', '지나 데이비스', '앤디 가르시아']",NA,9.09,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"인페르노","['미스터리', '스릴러']","미국",121,"2016.10.19","15세 관람가","론 하워드","['톰 행크스', '펠리시티 존스', '벤 포스터']",8.11,4.67,7.84,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"아키라","['애니메이션', 'SF', '모험', '액션']","일본",124,"1991.01.12","R","오토모 가츠히로","['이와타 미츠오', '사사키 노조무']",NA,8.14,NA,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"엔드 오브 왓치","['범죄', '드라마', '미스터리', '스릴러', '액션']","미국",109,"2012.12.06","청소년 관람불가","데이비드 에이어","['제이크 질렌할', '마이클 페나', '안나 켄드릭']",NA,7.38,8.41,"0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0"
"다이 하드 4.0","['액션', '모험', '스릴러']","미국",128,"2007.07.17","12세 관람가","렌 와이즈먼","['브루스 윌리스']",NA,7,8.91,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"굿모닝 에브리원","['코미디', '드라마', '멜로/로맨스']","미국",107,"2011.03.17","15세 관람가","로저 미첼","['레이첼 맥아덤즈', '해리슨 포드', '다이안 키튼']",NA,5.92,8.17,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"사일런트 스크림","['공포', '범죄', '스릴러']","미국",85,"2014.01.29","청소년 관람불가","크리스 켄티스","['엘리자베스 올슨', '애덤 트레스']",NA,4.95,NA,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"철의 여인","['드라마']","영국",105,"2012.02.23","12세 관람가","필리다 로이드","['메릴 스트립', '짐 브로드벤트']",NA,6.43,7.91,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"축제","['드라마']","한국",107,"1996.06.06","12세 관람가","임권택","['안성기', '오정해', '한은진']",NA,8.8,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"리플리컨트","['액션', 'SF']","미국",101,"2001.09.22","청소년 관람불가","임영동","['장 끌로드 반담', '마이클 루커']",NA,7.41,NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"오피스","['스릴러']","한국",111,"2015.09.03","15세 관람가","홍원찬","['고아성', '박성웅']",7.08,6.31,6.44,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"한니발","['범죄', '스릴러', '공포']","미국",132,"2001.04.28","청소년 관람불가","리들리 스콧","['안소니 홉킨스', '줄리안 무어']",NA,7.59,NA,"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"해에게서 소년에게","['드라마']","한국",78,"2015.11.19","15세 관람가","안슬기","['신연우', '김가현', '김호원']",8,6.75,7.85,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"렛 미 인","['공포', '드라마']","스웨덴",114,"2015.12.03","15세 관람가","토마스 알프레드슨","['카레 헤레브란트', '리나 레안데르손', '카린 베그퀴스트']",NA,8.75,8.51,"0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"싱글라이더","['드라마']","한국",97,"2017.02.22","15세 관람가","이주영","['이병헌', '공효진', '안소희']",8.03,5.63,8.12,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"시간의 종말","['다큐멘터리']","한국",67,"2016.11.03","전체 관람가","김대현","['고찬근', '오은규', '황건']",9,6.33,8.81,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"캔디 케인","['스릴러', '모험', '액션', '공포']","미국",95,"2002.06.28","15세 관람가","존 달","['스티브 잔', '폴 워커', '릴리 소비에스키']",NA,7.67,NA,"0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"내셔널 트레져: 비밀의 책","['모험', '액션']","미국",124,"2007.12.19","12세 관람가","존 터틀타웁","['니콜라스 케이지', '저스틴 바사', '다이앤 크루거']",NA,5,7.97,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"극장판 베르세르크: 황금 시대편Ⅲ - 강림","['애니메이션', '판타지', '액션']","일본",119,"2013.04.11","청소년 관람불가","쿠보오카 토시유키","['이와나가 히로아키', '사쿠라이 타카히로', '유키나리 토아']",NA,7.66,8.66,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1"
"연가시","['드라마', '모험']","한국",109,"2012.07.05","15세 관람가","박정우","['김명민', '문정희', '김동완']",NA,5.46,7.24,"0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"에이지 오브 드래곤","['액션', '판타지', 'SF', '스릴러', '모험']","미국",92,"2012.09.20","12세 관람가","라이언 리틀","['대니 글로버', '비니 존스', '코리 세비어']",NA,4.12,NA,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1"
"아내 업고 달리기","['코미디', '멜로/로맨스', '가족']","인도",110,"2016.11.10","15세 관람가","샤랏 카타리야","['아유쉬만 커라나', '부미 페드네카르']",8,6,9.06,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"워크래프트: 전쟁의 서막","['액션', '모험', '판타지']","미국",122,"2016.06.09","12세 관람가","던칸 존스","['트래비스 핌멜', '벤 포스터', '폴라 패튼']",8.67,5.96,8.68,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"007 스카이폴","['액션']","영국",143,"2012.10.26","15세 관람가","샘 멘데스","['다니엘 크레이그', '하비에르 바르뎀', '주디 덴치']",NA,8.22,7.85,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"표적","['액션', '드라마']","한국",98,"2014.04.30","15세 관람가","창감독","['류승룡', '유준상', '이진욱']",8.07,5.88,7.5,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"어네스트와 셀레스틴","['애니메이션', '코미디', '드라마', '가족']","프랑스",79,"2014.02.20","전체 관람가","벵상 파타","['램버트 윌슨', '포레스트 휘태커', '맥켄지 포이']",9.02,7.07,9.05,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"평양성","['코미디', '전쟁']","한국",117,"2011.01.27","12세 관람가","이준익","['정진영', '이문식', '류승룡']",NA,6,7.77,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"안나와 알렉스: 두 자매 이야기","['공포', '스릴러']","미국",87,"2009.04.09","15세 관람가","찰스 가드","['에밀리 브라우닝', '아리엘 케벨', '데이빗 스트라탄']",NA,4.88,6.85,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"고녀석 맛나겠다2 : 함께라서 행복해","['애니메이션', '가족', '모험']","한국",80,"2015.07.29","전체 관람가","최경석","['엄상현', '시영준', '안장혁']",8.04,4.67,8.55,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"빌리 엘리어트","['드라마', '가족', '코미디']","영국",110,"2017.01.18","12세 관람가","스티븐 달드리","['제이미 벨', '줄리 월터스', '게리 루이스']",9.68,8,9.28,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"미스틱 리버","['범죄', '드라마', '미스터리', '스릴러']","미국",137,"2003.12.05","15세 관람가","클린트 이스트우드","['숀 펜', '팀 로빈스', '케빈 베이컨']",NA,8.07,NA,"0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
"미확인 동영상 : 절대클릭금지","['공포', '스릴러']","한국",93,"2012.05.30","15세 관람가","김태경","['박보영', '주원', '강별']",NA,5.63,6.21,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"13시간","['액션', '드라마', '스릴러']","미국",144,"2016.03.03","15세 관람가","마이클 베이","['존 크래신스키', '제임스 뱃지 데일', '맥스 마티니']",8.42,5.5,8.06,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"도니 다코","['SF', '판타지', '미스터리', '드라마', '스릴러']","미국",112,"2002.11.22","15세 관람가","리차드 켈리","['제이크 질렌할']",NA,7.42,NA,"1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1"
"미운 오리 새끼","['드라마']","한국",95,"2012.08.30","15세 관람가","곽경택","['김준구', '오달수']",NA,6.29,8.75,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"쥬랜더 리턴즈","['코미디']","미국",100,"2016.08.31","15세 관람가","벤 스틸러","['벤 스틸러', '오웬 윌슨', '윌 페렐']",6.81,5.25,5.95,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"고사: 피의 중간고사","['공포', '스릴러']","한국",85,"2008.08.07","15세 관람가","창감독","['이범수', '윤정희', '남규리']",NA,3,6.82,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"앵그리버드 더 무비","['애니메이션', '액션', '코미디']","핀란드",97,"2016.05.19","전체 관람가","클레이 케이티스","['신동엽', '신용우', '정영웅']",8.42,6,8.3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"무서운 이야기","['공포']","한국",108,"2012.07.25","청소년 관람불가","정범식","['김지영', '정은채', '남보라']",NA,6.38,6.67,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"바스켓볼 다이어리","['드라마']","미국",102,"2000.04.29","청소년 관람불가","스콧 칼벳","['레오나르도 디카프리오', '줄리엣 루이스', '마크 월버그']",NA,8.85,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"카페 6","['멜로/로맨스', '코미디']","대만",103,"2016.11.16","12세 관람가","오자운","['동자건', '안탁령', '임백굉']",9,5.5,7.53,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"오! 수정","['드라마', '멜로/로맨스']","한국",126,"2000.05.27","청소년 관람불가","홍상수","['이은주', '정보석', '문성근']",NA,7.41,NA,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"소년 천국에 가다","['판타지', '드라마', '멜로/로맨스']","한국",114,"2005.11.11","12세 관람가","윤태용","['염정아', '박해일']",NA,5.33,7.62,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"엘 꼰도르 빠사","['드라마']","한국",86,"2016.02.27","전체 관람가","송재용","['강예원', '가우사이 밴드']",8.5,8.23,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"레이크 하우스","['드라마', '멜로/로맨스', '판타지']","미국",98,"2006.08.31","12세 관람가","알레한드로 아그레스티","['키아누 리브스', '산드라 블록']",NA,5,7.94,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"당신이 잠든 사이에","['멜로/로맨스', '코미디', '가족']","미국",103,"1995.05.13","PG","존 터틀타웁","['산드라 블록', '빌 풀만']",NA,8.95,NA,"0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"4교시 추리영역","['공포', '스릴러']","한국",86,"2009.08.12","15세 관람가","이상용","['유승호', '강소라']",NA,2.67,5.07,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"데스 레이스","['액션', 'SF', '스릴러']","미국",104,"2008.10.16","청소년 관람불가","폴 앤더슨","['제이슨 스타뎀', '타이레스']",NA,7.5,8.58,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"레지던트","['서스펜스', '스릴러']","영국",91,"2011.06.02","청소년 관람불가","안티 조키넨","['힐러리 스웽크', '제프리 딘 모건', '크리스토퍼 리']",NA,3,6.93,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"극장판 가면라이더 vs 파워레인저 슈퍼히어로 대전","['액션', 'SF']","일본",89,"2014.01.23","전체 관람가","카네다 오사무","['오자와 료타', '이노우에 마사히로', '아키야마 리나']",8.39,7.63,NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"블루 재스민","['드라마', '코미디']","미국",98,"2013.09.25","15세 관람가","우디 앨런","['케이트 블란쳇', '알렉 볼드윈', '샐리 호킨스']",9.14,7.93,8.48,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"우리 연애의 이력","['멜로/로맨스']","한국",101,"2016.06.29","15세 관람가","조성은","['전혜빈', '신민철']",7.91,5.75,8.05,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"마네킨","['코미디', '판타지', '드라마', 'SF']","미국",89,"1987.10.01","청소년 관람불가","마이클 고틀립","['앤드류 맥카시', '킴 캐트럴', '에스텔리 게티']",NA,8.33,NA,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"내일의 나를 만드는 방법","['드라마']","일본",97,"2008.04.17","12세 관람가","이치카와 준","['나루미 리코', '마에다 아츠코']",NA,8.01,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"엘리펀트","['범죄', '드라마']","미국",81,"2004.08.27","청소년 관람불가","구스 반 산트","['알렉스 프로스트', '에릭 두런']",NA,7.93,NA,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"화이트 스톰","['액션', '범죄', '스릴러']","홍콩",134,"2014.02.20","청소년 관람불가","진목승","['고천락', '유청운', '장가휘']",NA,7.26,NA,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
"쉘 위 댄스","['코미디', '멜로/로맨스']","미국",106,"2004.11.12","12세 관람가","피터 첼섬","['리차드 기어', '제니퍼 로페즈']",NA,7.04,NA,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"퍼시 잭슨과 번개 도둑","['판타지', '모험']","캐나다",118,"2010.02.11","12세 관람가","크리스 콜럼버스","['로건 레먼', '피어스 브로스넌', '우마 서먼']",NA,5.91,6.47,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"타이치0 3D","['코미디', '액션']","중국",98,"2013.07.04","12세 관람가","풍덕륜","['원효초', '안젤라베이비', '양가휘']",NA,4,6.89,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"나의 산티아고","['코미디']","독일",92,"2016.07.14","12세 관람가","줄리아 폰 하인츠","['데비드 스트리에소브', '마르티나 게덱', '카롤리네 슈허']",8.27,6,8.16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"램스","['드라마']","아이슬란드",93,"2016.11.03","15세 관람가","그리머 해커나르손","['시구르더 시거르존슨', '테오도르 줄리어슨']",8.14,7.39,8.1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"백악관 최후의 날","['액션', '스릴러']","미국",120,"2013.06.05","청소년 관람불가","안톤 후쿠아","['제라드 버틀러', '모건 프리먼', '아론 에크하트']",NA,4.88,5.47,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"플래닛 테러","['액션', '공포', 'SF']","미국",105,"2008.07.02","청소년 관람불가","로버트 로드리게즈","['로즈 맥고완', '프레디 로드리게스']",NA,7.29,7.58,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"링컨 : 뱀파이어 헌터","['액션', '스릴러', '공포']","미국",105,"2012.08.30","청소년 관람불가","티무르 베크맘베토브","['벤자민 워커', '도미닉 쿠퍼', '메리 엘리자베스 윈스티드']",NA,6,6.76,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"웰컴 투 사우스","['코미디']","이탈리아",102,"2012.12.13","전체 관람가","루카 미니에로","['클라우디오 비시오', '알레산드로 시아니']",NA,6,8.72,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"우리 집에 왜 왔니","['멜로/로맨스', '코미디', '드라마']","한국",107,"2009.04.09","15세 관람가","황수아","['박희순', '강혜정']",NA,6.88,8.3,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"그린 마일","['범죄', '드라마', '판타지', '미스터리']","미국",188,"2000.03.04","청소년 관람불가","프랭크 다라본트","['톰 행크스', '데이빗 모스', '보니 헌트']",NA,9.18,NA,"0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1"
"도리화가","['드라마']","한국",109,"2015.11.25","12세 관람가","이종필","['류승룡', '수지', '송새벽']",7.35,5.44,5.6,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"금발이 너무해","['코미디', '드라마']","미국",97,"2001.10.13","12세 관람가","로버트 루케틱","['리즈 위더스푼', '루크 윌슨']",NA,8.4,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"실미도","['전쟁', '스릴러', '드라마', '액션']","한국",135,"2003.12.24","15세 관람가","강우석","['설경구', '안성기', '허준호']",NA,8.54,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"프로메테우스","['SF', '스릴러']","미국",123,"2012.06.06","청소년 관람불가","리들리 스콧","['누미 라파스', '마이클 패스벤더', '샤를리즈 테론']",NA,7.3,7.61,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"나이트 오브 컵스","['드라마', '멜로/로맨스']","미국",118,"2015.11.12","청소년 관람불가","테렌스 맬릭","['크리스찬 베일', '케이트 블란쳇', '나탈리 포트만']",8.2,5.88,6.77,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어느 하녀의 일기","['드라마']","프랑스",96,"2015.08.06","청소년 관람불가","브누와 쟉꼬","['레아 세이두', '뱅상 랭동']",6.97,6.25,6.62,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"킬러들의 도시","['범죄', '드라마', '스릴러']","영국",102,"2009.03.05","청소년 관람불가","마틴 맥도나","['콜린 파렐', '브렌단 글리슨', '랄프 파인즈']",NA,7.71,7.43,"0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"꽃비","['드라마']","한국",79,"2010.04.01","청소년 관람불가","정종훈","['김두진', '한이빈', '육동일']",NA,4.5,6.75,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"아내가 결혼했다","['멜로/로맨스', '드라마']","한국",119,"2008.10.23","청소년 관람불가","정윤수","['손예진', '김주혁']",NA,5.75,5.04,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"타인의 삶","['드라마']","독일",137,"2013.01.17","15세 관람가","플로리안 헨켈 폰 도너스마르크","['울리히 뮤흐', '마르티나 게덱', '세바스티안 코치']",NA,7.14,9.21,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"크랙","['드라마']","영국",104,"2010.07.29","청소년 관람불가","조던 스콧","['에바 그린']",NA,6.65,7.63,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"비거 스플래쉬","['멜로/로맨스']","이탈리아",124,"2016.08.03","청소년 관람불가","루카 구아다니노","['틸다 스윈튼', '랄프 파인즈', '마티아스 쇼에나에츠']",7.6,6.92,7.26,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"킹스맨 : 시크릿 에이전트","['액션', '스릴러']","미국",128,"2015.02.11","청소년 관람불가","매튜 본","['콜린 퍼스', '태런 에저튼', '사무엘 L. 잭슨']",9.02,7.58,8.81,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"솔로몬 케인","['액션', '모험', '판타지']","영국",104,"2010.03.25","청소년 관람불가","마이클 J. 버세트","['제임스 퓨어포이', '레이첼 허드-우드', '막스 본 시도우']",NA,4.33,5.16,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"돈 쥬앙","['코미디', '드라마', '멜로/로맨스']","미국",90,"1995.09.30","청소년 관람불가","제레미 레벤","['말론 브란도', '조니 뎁', '페이 더너웨이']",NA,8.51,NA,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"드래그 미 투 헬","['공포', '스릴러', '판타지']","미국",99,"2009.06.11","15세 관람가","샘 레이미","['알리슨 로먼', '저스틴 롱']",NA,7.8,7,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"가루지기","['코미디', '드라마', '뮤지컬']","한국",120,"2008.04.30","청소년 관람불가","신한솔","['봉태규', '김예원']",NA,4.07,NA,"0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"오란고교 호스트부","['코미디']","일본",105,"2013.03.14","12세 관람가","칸 테츠","['카와구치 하루나', '야마모토 유스케']",NA,4.14,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"잉글리쉬 페이션트","['드라마', '멜로/로맨스', '전쟁']","미국",162,"2016.11.30","청소년 관람불가","안소니 밍겔라","['랄프 파인즈', '줄리엣 비노쉬', '윌렘 대포']",9.19,8.64,NA,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"블라인드 사이드","['드라마']","미국",128,"2010.04.15","12세 관람가","존 리 행콕","['산드라 블록']",NA,6.08,9.3,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"비밀의 숲 테라비시아","['가족', '모험']","미국",94,"2007.02.15","전체 관람가","가버 추보","['조쉬 허처슨', '안나소피아 롭']",NA,7.58,NA,"0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"내 남자의 아내도 좋아","['멜로/로맨스', '코미디', '드라마']","미국",96,"2009.04.15","15세 관람가","우디 앨런","['하비에르 바르뎀', '페넬로페 크루즈', '스칼렛 요한슨']",NA,7.85,7.73,"0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"페이 더 고스트","['미스터리', '판타지', '스릴러']","미국",94,"2016.11.30","15세 관람가","울리 에델","['니콜라스 케이지', '사라 웨인 콜리스', '잭 풀턴']",NA,3.65,6.2,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1"
"브링 잇 온","['코미디']","미국",112,"2000.12.02","15세 관람가","페이튼 리드","['커스틴 던스트', '엘리자 더쉬쿠', '제시 브래포드']",NA,8.71,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"무림여대생","['멜로/로맨스', '액션', '코미디']","한국",115,"2008.06.26","15세 관람가","곽재용","['신민아', '온주완', '유건']",NA,4.2,4.78,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"헐크","['모험', '액션', '판타지', 'SF']","미국",137,"2003.07.04","전체 관람가","이안","['에릭 바나', '제니퍼 코넬리', '샘 엘리어트']",NA,7.04,NA,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"페이퍼맨","['코미디', '드라마']","미국",111,"2014.05.01","15세 관람가","키에란 멀로니","['제프 다니엘스', '엠마 스톤']",NA,8,NA,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"8광구: 몬스터의 부활","['액션', '공포', 'SF']","미국",94,"2014.12.23","청소년 관람불가","피터 애튼시오","['윌리엄 포사이스', '스테이시 힌넨', '세라 디레인']",NA,4.55,NA,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"내니 맥피 - 우리 유모는 마법사","['코미디', '가족']","미국",99,"2006.02.03","전체 관람가","커크 존스","['엠마 톰슨']",NA,3.5,8.55,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"메이지가 알고 있었던 일","['드라마']","미국",99,"2014.03.27","15세 관람가","스콧 맥게히","['줄리안 무어', '오나타 에이프릴', '알렉산더 스카스가드']",8.2,6.67,8.62,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
